,Date,Open,High,Low,Close,Volume,Volatility
0,2021-04-24,2367.39,2368.74,2245.0,2278.07,115950.48819,0.05226853201204693
1,2021-04-23,2397.94,2442.89,2107.0,2367.39,2532242.44185,0.14007439719092216
2,2021-04-22,2357.06,2644.47,2303.44,2397.94,2220753.09746,0.14468447981807836
3,2021-04-21,2330.26,2469.54,2235.16,2357.06,1177885.8617,0.10058105104151471
4,2021-04-20,2161.12,2346.62,2055.0,2330.03,992240.809,0.13493929073813574
5,2021-04-19,2235.65,2300.0,2080.0,2161.12,820592.26555,0.09840538545836781
6,2021-04-18,2317.65,2340.0,1946.8,2235.64,1475383.69204,0.16965460703730073
7,2021-04-17,2422.38,2495.0,2310.0,2317.6,624232.25568,0.07637117215300654
8,2021-04-16,2514.04,2548.29,2300.0,2422.67,999163.75205,0.0987613562234491
9,2021-04-15,2432.59,2543.47,2400.0,2514.04,681950.96645,0.05897829062850698
10,2021-04-14,2299.19,2447.29,2281.33,2432.6,972931.60866,0.07218194233621407
11,2021-04-13,2137.86,2318.0,2135.53,2299.19,782608.6209,0.08535170684703385
12,2021-04-12,2151.42,2203.46,2102.0,2137.69,579093.35694,0.047159550436455935
13,2021-04-11,2133.49,2165.02,2113.4,2151.36,392265.50773,0.02419509817247791
14,2021-04-10,2067.19,2200.0,2058.0,2133.49,655458.20894,0.06869228276065577
15,2021-04-09,2080.39,2100.0,2047.57,2066.87,426387.4379,0.02520200539321957
16,2021-04-08,1963.46,2084.61,1947.35,2080.46,501355.998,0.06990720462856397
17,2021-04-07,2112.22,2129.01,1930.01,1963.47,892984.90422,0.09421367092443034
18,2021-04-06,2107.43,2151.0,2044.65,2112.21,673386.05575,0.050464309609334554
19,2021-04-05,2075.7,2130.64,2002.15,2107.38,684923.61494,0.06190200896083239
20,2021-04-04,2008.59,2091.83,1975.24,2075.69,514345.76554,0.05804569374536363
21,2021-04-03,2133.69,2138.12,1996.3,2008.52,770176.32192,0.06646701254633988
22,2021-04-02,1968.05,2146.0,1948.48,2133.69,846197.93215,0.10036330377785116
23,2021-04-01,1919.37,1984.77,1885.02,1968.05,741585.07266,0.051970177714562596
24,2021-03-31,1840.41,1947.29,1768.15,1919.37,746995.8591,0.09733700642791544
25,2021-03-30,1816.76,1859.13,1786.3,1840.46,568842.00526,0.04008784869768167
26,2021-03-29,1687.16,1841.0,1677.85,1816.74,647724.46387,0.09670096493515735
27,2021-03-28,1712.52,1725.66,1661.4,1687.01,348895.51314,0.0375236493588396
28,2021-03-27,1698.84,1732.67,1666.41,1712.63,443845.49957,0.03900308445762991
29,2021-03-26,1585.83,1699.93,1585.79,1698.84,515470.92907,0.0719749279557078
30,2021-03-25,1581.88,1622.0,1549.4,1585.74,701697.00258,0.045894758135888884
31,2021-03-24,1668.2,1740.86,1536.92,1581.84,753834.52393,0.12225152859369369
32,2021-03-23,1681.17,1721.17,1650.0,1668.08,577213.99589,0.042333612900539545
33,2021-03-22,1783.23,1807.51,1655.15,1680.97,582727.49081,0.08544046477459435
34,2021-03-21,1806.57,1817.16,1747.0,1782.98,465953.98749,0.038836026281849075
35,2021-03-20,1809.01,1868.83,1800.86,1806.1,451556.10639,0.03757303718608522
36,2021-03-19,1775.92,1840.61,1733.47,1809.1,500258.42875,0.06032929411234733
37,2021-03-18,1823.58,1850.0,1759.04,1776.08,603721.61056,0.04987990655743101
38,2021-03-17,1805.01,1838.88,1741.18,1823.58,658349.44843,0.05412712394945183
39,2021-03-16,1793.99,1819.5,1711.68,1805.12,764993.40147,0.06010066945746628
40,2021-03-15,1848.1,1891.76,1730.0,1793.48,1025326.79658,0.08752773118337752
41,2021-03-14,1922.35,1933.1,1836.0,1848.1,637963.63627,0.050511093193227
42,2021-03-13,1766.13,1944.3,1727.75,1922.35,926283.22642,0.12261271820307675
43,2021-03-12,1825.78,1841.88,1719.72,1766.1,869564.6361,0.06690838983886344
44,2021-03-11,1795.28,1846.7,1725.0,1825.78,909011.4961,0.06778886858874385
45,2021-03-10,1870.5,1877.69,1757.0,1795.12,937230.62831,0.06452285485164397
46,2021-03-09,1833.22,1870.77,1798.2,1870.51,857229.47855,0.039586083503343805
47,2021-03-08,1726.46,1843.59,1664.96,1833.18,1149711.39987,0.10346605192127235
48,2021-03-07,1650.68,1734.16,1630.35,1726.16,848470.78136,0.06288923352800069
49,2021-03-06,1528.08,1671.58,1513.03,1650.35,1013300.93928,0.10375765666719017
50,2021-03-05,1539.22,1548.96,1441.66,1528.31,910786.28976,0.06971063265809953
51,2021-03-04,1567.68,1624.87,1506.36,1539.23,946365.67088,0.07559578485405184
52,2021-03-03,1486.79,1656.94,1475.47,1567.69,1054846.31471,0.12205489679107341
53,2021-03-02,1570.0,1602.9,1455.52,1486.78,1061142.38743,0.09387261146496823
54,2021-03-01,1418.67,1572.0,1409.91,1569.86,1094695.17839,0.11425490071686856
55,2021-02-28,1458.27,1468.75,1293.18,1419.18,1410207.56284,0.12039608577286781
56,2021-02-27,1444.56,1529.0,1425.0,1458.13,927423.0475,0.07199424046076314
57,2021-02-26,1482.08,1562.25,1400.0,1444.59,1355973.29378,0.10947452229299363
58,2021-02-25,1623.16,1671.59,1459.16,1481.75,1032670.79409,0.13087434387244623
59,2021-02-24,1577.79,1712.7,1500.2,1623.39,1384388.81727,0.13468205527985347
60,2021-02-23,1777.42,1782.39,1355.0,1577.89,2547837.82068,0.2404552666224078
