Date,Coin,Open,High,Low,Close,Volume,Market Cap,200_MA,150_MA,50_MA,52W_High,52W_Low,Volatility
2021-04-17,ETH,2422.38,2484.0,2422.38,2483.99,46133.37533,46133.37533,2483.99,2483.99,2483.99,2483.99,2483.99,0.02543779258415273
2021-04-16,ETH,2514.04,2548.29,2300.0,2422.67,999163.75205,999163.75205,2453.33,2453.33,2453.33,2483.99,2422.67,0.0987613562234491
2021-04-15,ETH,2432.59,2543.47,2400.0,2514.04,681950.96645,681950.96645,2473.5666666666666,2473.5666666666666,2473.5666666666666,2514.04,2422.67,0.05897829062850698
2021-04-14,ETH,2299.19,2447.29,2281.33,2432.6,972931.60866,972931.60866,2463.325,2463.325,2463.325,2514.04,2422.67,0.07218194233621407
2021-04-13,ETH,2137.86,2318.0,2135.53,2299.19,782608.6209,782608.6209,2430.498,2430.498,2430.498,2514.04,2299.19,0.08535170684703385
2021-04-12,ETH,2151.42,2203.46,2102.0,2137.69,579093.35694,579093.35694,2381.6966666666667,2381.6966666666667,2381.6966666666667,2514.04,2137.69,0.047159550436455935
2021-04-11,ETH,2133.49,2165.02,2113.4,2151.36,392265.50773,392265.50773,2348.7914285714287,2348.7914285714287,2348.7914285714287,2514.04,2137.69,0.02419509817247791
2021-04-10,ETH,2067.19,2200.0,2058.0,2133.49,655458.2089399999,655458.2089399999,2321.87875,2321.87875,2321.87875,2514.04,2133.49,0.06869228276065577
2021-04-09,ETH,2080.39,2100.0,2047.57,2066.87,426387.4379,426387.4379,2293.5444444444443,2293.5444444444443,2293.5444444444443,2514.04,2066.87,0.02520200539321957
2021-04-08,ETH,1963.46,2084.61,1947.35,2080.46,501355.99799999996,501355.99799999996,2272.236,2272.236,2272.236,2514.04,2066.87,0.06990720462856397
2021-04-07,ETH,2112.22,2129.01,1930.01,1963.47,892984.90422,892984.90422,2244.1663636363633,2244.1663636363633,2244.1663636363633,2514.04,1963.47,0.09421367092443034
2021-04-06,ETH,2107.43,2151.0,2044.65,2112.21,673386.05575,673386.05575,2233.1699999999996,2233.1699999999996,2233.1699999999996,2514.04,1963.47,0.050464309609334554
2021-04-05,ETH,2075.7,2130.64,2002.15,2107.38,684923.61494,684923.61494,2223.493846153846,2223.493846153846,2223.493846153846,2514.04,1963.47,0.06190200896083239
2021-04-04,ETH,2008.59,2091.83,1975.24,2075.69,514345.76553999993,514345.76553999993,2212.936428571428,2212.936428571428,2212.936428571428,2514.04,1963.47,0.05804569374536363
2021-04-03,ETH,2133.69,2138.12,1996.3,2008.52,770176.32192,770176.32192,2199.3086666666663,2199.3086666666663,2199.3086666666663,2514.04,1963.47,0.06646701254633988
2021-04-02,ETH,1968.05,2146.0,1948.48,2133.69,846197.93215,846197.93215,2195.2075,2195.2075,2195.2075,2514.04,1963.47,0.10036330377785116
2021-04-01,ETH,1919.37,1984.77,1885.02,1968.05,741585.0726600001,741585.0726600001,2181.8452941176474,2181.8452941176474,2181.8452941176474,2514.04,1963.47,0.051970177714562596
2021-03-31,ETH,1840.41,1947.29,1768.15,1919.37,746995.8591,746995.8591,2167.263333333334,2167.263333333334,2167.263333333334,2514.04,1919.37,0.09733700642791544
2021-03-30,ETH,1816.76,1859.13,1786.3,1840.46,568842.00526,568842.00526,2150.0631578947373,2150.0631578947373,2150.0631578947373,2514.04,1840.46,0.04008784869768167
2021-03-29,ETH,1687.16,1841.0,1677.85,1816.74,647724.46387,647724.46387,2133.397,2133.397,2133.397,2514.04,1816.74,0.09670096493515735
2021-03-28,ETH,1712.52,1725.66,1661.4,1687.01,348895.51314,348895.51314,2112.1404761904764,2112.1404761904764,2112.1404761904764,2514.04,1687.01,0.0375236493588396
2021-03-27,ETH,1698.84,1732.67,1666.41,1712.63,443845.49957,443845.49957,2093.9809090909093,2093.9809090909093,2093.9809090909093,2514.04,1687.01,0.03900308445762991
2021-03-26,ETH,1585.83,1699.93,1585.79,1698.84,515470.92906999995,515470.92906999995,2076.8008695652175,2076.8008695652175,2076.8008695652175,2514.04,1687.01,0.0719749279557078
2021-03-25,ETH,1581.88,1622.0,1549.4,1585.74,701697.00258,701697.00258,2056.3399999999997,2056.3399999999997,2056.3399999999997,2514.04,1585.74,0.045894758135888884
2021-03-24,ETH,1668.2,1740.86,1536.92,1581.84,753834.52393,753834.52393,2037.3599999999997,2037.3599999999997,2037.3599999999997,2514.04,1581.84,0.12225152859369369
2021-03-23,ETH,1681.17,1721.17,1650.0,1668.08,577213.9958899999,577213.9958899999,2023.1569230769228,2023.1569230769228,2023.1569230769228,2514.04,1581.84,0.042333612900539545
2021-03-22,ETH,1783.23,1807.51,1655.15,1680.97,582727.49081,582727.49081,2010.4833333333331,2010.4833333333331,2010.4833333333331,2514.04,1581.84,0.08544046477459435
2021-03-21,ETH,1806.57,1817.16,1747.0,1782.98,465953.98748999997,465953.98748999997,2002.3582142857142,2002.3582142857142,2002.3582142857142,2514.04,1581.84,0.038836026281849075
2021-03-20,ETH,1809.01,1868.83,1800.86,1806.1,451556.10639,451556.10639,1995.5906896551724,1995.5906896551724,1995.5906896551724,2514.04,1581.84,0.03757303718608522
2021-03-19,ETH,1775.92,1840.61,1733.47,1809.1,500258.42875,500258.42875,1989.3743333333332,1989.3743333333332,1989.3743333333332,2514.04,1581.84,0.06032929411234733
2021-03-18,ETH,1823.58,1850.0,1759.04,1776.08,603721.6105600001,603721.6105600001,1982.493870967742,1982.493870967742,1982.493870967742,2514.04,1581.84,0.04987990655743101
2021-03-17,ETH,1805.01,1838.88,1741.18,1823.58,658349.44843,658349.44843,1977.5278125,1977.5278125,1977.5278125,2514.04,1581.84,0.05412712394945183
2021-03-16,ETH,1793.99,1819.5,1711.68,1805.12,764993.4014699999,764993.4014699999,1972.3033333333333,1972.3033333333333,1972.3033333333333,2514.04,1581.84,0.06010066945746628
2021-03-15,ETH,1848.1,1891.76,1730.0,1793.48,1025326.79658,1025326.79658,1967.0438235294118,1967.0438235294118,1967.0438235294118,2514.04,1581.84,0.08752773118337752
2021-03-14,ETH,1922.35,1933.1,1836.0,1848.1,637963.63627,637963.63627,1963.645428571429,1963.645428571429,1963.645428571429,2514.04,1581.84,0.050511093193227
2021-03-13,ETH,1766.13,1944.3,1727.75,1922.35,926283.2264200001,926283.2264200001,1962.498333333334,1962.498333333334,1962.498333333334,2514.04,1581.84,0.12261271820307675
2021-03-12,ETH,1825.78,1841.88,1719.72,1766.1,869564.6361,869564.6361,1957.190270270271,1957.190270270271,1957.190270270271,2514.04,1581.84,0.06690838983886344
2021-03-11,ETH,1795.28,1846.7,1725.0,1825.78,909011.4961,909011.4961,1953.7321052631585,1953.7321052631585,1953.7321052631585,2514.04,1581.84,0.06778886858874385
2021-03-10,ETH,1870.5,1877.69,1757.0,1795.12,937230.6283100001,937230.6283100001,1949.6651282051287,1949.6651282051287,1949.6651282051287,2514.04,1581.84,0.06452285485164397
2021-03-09,ETH,1833.22,1870.77,1798.2,1870.51,857229.47855,857229.47855,1947.6862500000002,1947.6862500000002,1947.6862500000002,2514.04,1581.84,0.039586083503343805
2021-03-08,ETH,1726.46,1843.59,1664.96,1833.18,1149711.39987,1149711.39987,1944.8934146341464,1944.8934146341464,1944.8934146341464,2514.04,1581.84,0.10346605192127235
